html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),label
0,0,0,0,53,1,1,1,5,0,1,2,0,3,0,0,malicious
0,4,0,0,2,1,1,1,0,0,1,3,0,1,0,0,malicious
0,0,0,0,88,1,1,2,57,0,19,7,0,3,0,0,malicious
1,8,0,0,304,1,1,0,64,0,7,1,0,38,0,0,malicious
1,0,0,0,38,1,1,2,4,0,1,30,0,4,0,0,malicious
11,60,0,0,292,1,1,5,238,0,60,14,0,36,0,0,malicious
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,14,1,1,1,2,0,0,2,0,2,0,0,malicious
0,7,0,0,28,1,1,2,13,0,16,6,0,8,0,0,malicious
0,7,0,0,18,1,1,0,0,0,20,3,0,1,0,0,malicious
0,2,0,0,9,1,1,1,1,0,7,2,0,0,0,0,malicious
4,6,0,0,193,1,1,6,55,3,88,34,0,3,0,0,malicious
7,73,0,0,24,1,1,1,17,0,16,13,0,11,0,0,malicious
0,23,0,0,104,1,1,9,163,0,24,25,0,21,0,0,malicious
0,2,0,0,9,1,1,1,1,0,7,2,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
1,0,0,0,38,1,1,2,4,0,1,30,0,4,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,3,0,0,10,1,1,1,1,0,0,2,0,1,0,0,malicious
0,10,0,0,46,1,1,2,8,0,12,22,0,2,0,0,malicious
0,0,0,0,53,1,1,1,5,0,1,2,0,3,0,0,malicious
0,0,0,0,37,1,1,1,4,0,1,2,0,4,0,0,malicious
0,47,0,0,190,1,1,3,38,0,28,3,0,11,0,0,malicious
0,2,0,0,87,1,1,2,9,0,1,3,0,7,0,0,malicious
0,14,0,0,39,1,1,0,0,0,1,6,0,3,0,0,malicious
0,1,0,0,10,1,1,1,1,0,11,7,0,1,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,8,1,1,0,2,0,1,0,0,0,0,0,malicious
0,2,0,0,9,1,1,1,1,0,7,2,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,3,0,0,1,1,1,1,0,0,0,5,0,1,0,0,malicious
0,7,0,0,14,1,1,1,2,1,2,4,0,4,0,0,malicious
0,1,0,0,11,1,1,0,3,0,1,0,0,0,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,5,0,0,58,1,1,1,24,0,25,5,0,0,0,0,malicious
0,1,0,0,22,1,1,1,1,0,3,4,0,0,0,0,malicious
0,1,0,0,28,1,1,0,24,0,9,0,0,1,0,0,malicious
0,5,0,0,58,1,1,1,24,0,25,5,0,0,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,9,0,0,39,1,1,1,8,0,34,6,0,9,0,0,malicious
0,0,0,0,3,1,1,1,0,0,0,3,0,1,0,0,malicious
0,4,0,0,18,1,1,1,1,0,2,3,0,3,0,0,malicious
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,13,1,1,1,0,0,0,2,0,2,0,0,malicious
0,2,0,0,33,1,1,1,1,0,0,2,0,3,0,0,malicious
0,14,0,0,39,1,1,0,0,0,1,6,0,3,0,0,malicious
0,3,0,0,5,1,1,1,8,0,3,7,0,2,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
3,65,0,0,95,1,1,2,32,0,12,8,0,6,0,0,malicious
0,3,0,0,13,1,1,0,2,0,3,1,0,1,0,0,malicious
0,13,0,0,8,1,1,1,1,0,1,10,0,1,0,0,malicious
0,1,0,0,212,1,1,2,381,0,23,6,0,7,0,0,malicious
0,23,0,0,49,1,1,0,15,0,31,0,0,3,0,0,malicious
0,10,0,0,169,1,1,1,13,0,23,15,0,14,0,0,malicious
2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
1,22,0,0,509,1,1,0,114,0,3,27,0,2,0,0,malicious
0,81,0,0,26,1,1,0,14,0,13,0,0,3,0,0,malicious
0,3,0,0,6,1,1,1,4,0,0,3,0,4,0,0,malicious
0,5,0,0,58,1,1,1,24,0,25,5,0,0,0,0,malicious
8,111,0,0,138,1,1,4,298,0,30,8,0,7,0,0,malicious
0,0,0,0,41,1,1,2,28,0,10,4,0,1,0,0,malicious
0,6,0,0,27,1,1,0,15,0,1,0,0,8,0,0,malicious
0,18,0,0,305,1,1,2,40,0,17,21,0,5,0,0,malicious
5,16,0,0,54,1,1,2,7,0,2,2,0,1,0,0,malicious
0,5,0,0,7,1,1,1,0,0,1,6,0,3,0,0,malicious
0,2,0,0,93,1,1,1,69,3,14,14,0,2,0,0,malicious
0,3,0,0,13,1,1,1,7,0,2,4,0,1,0,0,malicious
0,5,0,0,23,1,1,1,1,0,13,8,0,5,0,0,malicious
0,1,0,0,6,1,1,1,0,0,0,3,0,4,0,0,malicious
8,41,0,0,246,1,1,2,128,1,20,6,0,93,0,0,malicious
5,41,0,0,246,1,1,2,128,1,20,6,0,93,0,0,malicious
0,3,0,0,15,1,1,1,0,0,0,3,0,2,0,0,malicious
0,6,0,0,42,1,1,1,12,0,22,6,0,1,0,0,malicious
0,10,0,0,46,1,1,2,8,0,12,22,0,2,0,0,malicious
8,46,0,0,63,1,1,2,35,0,19,7,0,3,0,0,malicious
0,7,0,0,13,1,1,2,6,0,8,5,0,3,0,0,malicious
7,73,0,0,24,1,1,1,17,0,16,13,0,11,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,4,0,0,2,1,1,0,0,0,1,0,0,0,0,0,malicious
0,3,0,0,28,1,1,1,10,0,3,6,0,2,0,0,malicious
0,6,0,0,34,1,1,3,21,0,23,16,0,2,0,0,malicious
0,0,0,0,232,1,1,2,121,1,35,6,0,80,0,0,malicious
0,29,0,0,106,1,1,9,163,0,28,26,0,21,0,0,malicious
0,2,0,0,250,1,1,3,187,0,77,17,0,68,0,0,malicious
0,23,0,0,104,1,1,9,163,0,24,25,0,21,0,0,malicious
2,4,0,0,14,1,1,0,3,0,0,0,0,0,0,0,malicious
0,0,0,0,10,1,1,0,5,0,0,0,0,2,0,0,malicious
0,26,0,0,36,1,1,0,3,0,0,0,0,1,0,0,malicious
0,12,0,0,16,1,1,2,22,0,7,21,0,13,0,0,malicious
0,1,0,0,24,1,1,1,10,0,1,3,0,4,0,0,malicious
0,12,0,0,67,1,1,2,5,0,10,17,0,12,0,0,malicious
1,28,0,0,99,1,1,3,157,0,94,13,0,74,0,0,malicious
0,10,0,0,100,1,1,0,2,0,16,1,0,2,0,0,malicious
0,12,0,0,139,1,1,0,0,0,56,0,0,74,0,0,malicious
0,4,0,0,21,1,1,0,6,0,2,0,0,5,0,0,malicious
0,2,0,0,16,1,1,1,6,0,0,3,0,0,0,0,malicious
0,12,0,0,139,1,1,0,0,0,56,0,0,74,0,0,malicious
0,0,0,0,6,1,1,0,1,0,3,0,0,1,0,0,malicious
0,6,0,0,22,1,1,1,1,0,3,9,0,6,0,0,malicious
0,0,0,0,53,1,1,1,5,0,1,2,0,3,0,0,malicious
0,8,0,0,50,1,1,1,1,1,0,2,0,3,0,0,malicious
0,3,0,0,19,1,1,0,4,0,3,0,0,1,0,0,malicious
0,11,0,0,16,1,1,1,15,0,4,21,0,7,0,0,malicious
0,11,0,0,16,1,1,1,15,0,4,21,0,7,0,0,malicious
1,14,0,0,32,1,1,2,7,0,10,19,0,1,0,0,malicious
0,11,0,0,16,1,1,1,15,0,4,21,0,7,0,0,malicious
2,23,0,0,95,1,1,2,53,0,5,19,0,14,1,0,malicious
7,46,0,0,63,1,1,2,35,0,19,7,0,3,0,0,malicious
0,7,0,0,338,1,1,3,241,1,17,7,0,99,0,0,malicious
1,14,0,0,27,1,1,1,1,0,9,1,0,3,0,0,malicious
1,48,0,0,104,1,1,4,117,0,59,13,0,8,0,0,malicious
