url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
58,0,3,33,32,11,5.333333333333333,18,18,2,0,0,3,0,0,0,0,0,0,0,0,4.59446008969405,22,21,0,80,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,18,1,1,6,4,0,6,22,0,7,0,0,malicious
31,2,3,1,0,14,7.0,23,23,2,0,0,3,2,0,0,0,0,0,0,0,4.17146526179041,16,0,0,80,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28,1,1,0,23,0,9,0,0,0,0,0,malicious
46,1,3,10,9,20,8.666666666666666,28,28,3,0,0,3,1,0,0,0,0,0,0,0,4.495644292684311,29,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
28,0,3,1,0,13,6.0,20,20,2,0,0,3,0,0,0,0,0,0,0,0,3.8693312611115185,16,0,0,80,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
27,0,2,1,0,14,8.5,18,18,1,0,0,3,0,0,0,0,0,0,0,0,3.856196298219379,14,3,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,1,1,1,1,0,1,2,0,1,0,0,malicious
48,1,2,18,9,18,10.5,22,22,2,0,0,4,1,0,0,0,0,0,0,0,4.363521032323433,25,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
49,1,2,18,9,19,11.0,23,23,2,0,0,4,1,0,0,0,0,0,0,0,4.3131907112413845,28,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
54,1,2,10,9,32,17.5,36,36,2,0,0,3,1,0,0,0,0,0,0,0,4.154820317091097,31,0,0,80,1,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
47,2,3,10,9,21,9.0,29,29,3,0,0,3,2,0,0,0,0,0,0,0,4.46343539390861,29,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,36,1,1,1,15,0,0,13,0,4,0,0,malicious
48,0,2,10,9,21,14.5,30,30,2,0,0,3,0,0,0,0,0,0,0,0,4.250814583693911,29,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
57,2,3,10,9,31,12.333333333333334,39,39,3,0,0,3,2,0,0,0,0,0,0,0,4.293440786763787,35,0,0,80,1,0,1,1,1,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
35,0,3,11,5,9,4.666666666666667,16,16,2,0,0,4,0,0,0,0,0,0,0,0,4.111864717675343,17,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,112,1,1,1,1008,0,295,7,0,18,0,0,benign
45,0,2,18,17,16,9.5,20,20,2,2,0,3,0,0,0,0,0,0,0,0,4.174426151548691,26,1,0,80,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,71,1,1,1,1,0,7,2,0,1,0,0,malicious
26,0,2,2,1,13,8.0,17,17,1,0,0,3,0,0,0,0,0,0,0,0,3.95006375643621,13,6,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,malicious
88,1,3,10,9,50,22.666666666666668,70,70,3,0,0,3,1,0,0,0,0,0,0,0,4.225073238198663,47,0,0,80,1,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
79,1,3,1,0,50,22.666666666666668,70,70,2,0,0,3,1,0,0,0,0,0,0,0,4.166415635133545,41,0,0,80,1,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
39,1,3,10,9,12,6.333333333333333,21,21,3,0,0,3,1,0,0,0,0,0,0,0,4.368108949354111,19,4,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
41,1,3,10,9,11,7.0,23,23,3,0,0,3,1,0,0,0,0,0,0,0,4.173909931130747,22,0,0,80,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
37,2,3,1,0,22,9.0,29,29,2,0,0,3,2,0,0,0,0,0,0,0,4.208924987016683,20,0,0,80,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
46,1,2,10,9,24,13.5,28,28,2,0,0,3,1,0,0,0,0,0,0,0,4.116408565770044,26,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
36,0,4,1,0,10,6.25,28,28,3,0,0,3,0,0,0,0,0,0,0,0,4.305496793698874,23,1,0,80,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,1,0,23,0,9,0,0,0,0,0,malicious
37,0,4,1,0,10,6.25,28,28,3,0,0,3,0,0,0,0,0,0,0,0,4.2629790410707376,24,1,0,80,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,1,0,23,0,9,0,0,0,0,0,malicious
33,2,2,1,0,21,12.0,25,25,1,0,0,3,2,0,0,0,0,0,0,0,4.150158513166728,17,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
