url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
75,0,3,52,20,7,4.333333333333333,15,15,2,0,0,6,3,0,0,0,0,0,0,0,4.202227397222425,37,0,0,80,1,0,1,0,2,0,1,0,0,1,0,0,1,42,0,0,186,1,1,1,197,0,28,3,0,79,0,0,benign
41,0,3,18,12,6,4.333333333333333,15,15,2,0,0,4,1,0,0,0,0,0,0,0,4.09476084581766,21,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,15,0,0,118,1,1,1,14,0,20,74,0,2,0,0,benign
44,0,3,16,3,9,6.0,20,20,2,0,0,5,0,0,0,0,0,0,0,0,3.8996772894761453,27,0,0,80,1,0,1,0,0,0,1,0,0,0,1,0,1,10,0,0,64,1,1,0,68,0,8,0,0,5,0,0,benign
49,0,3,24,0,9,5.0,17,17,2,0,0,4,3,0,0,0,0,0,0,0,3.951772222577167,26,1,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,62,0,0,40,1,1,1,110,0,16,4,0,8,0,0,benign
18,0,2,1,0,5,4.0,9,9,1,0,0,3,0,0,0,0,0,0,0,0,3.6835423624332306,10,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,211,1,1,0,139,0,113,5,0,26,1,0,benign
39,0,3,15,14,8,4.666666666666667,16,16,3,0,0,3,1,0,0,0,0,0,0,0,4.019143808983936,26,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,1,18,0,0,46,1,1,0,123,0,4,0,0,4,0,0,benign
61,0,3,34,33,12,6.0,20,20,4,0,0,3,3,0,0,0,0,0,0,0,4.222660070473904,29,5,0,80,0,0,1,0,1,0,1,0,0,1,0,0,0,8,0,0,273,1,1,0,117,0,6,3,0,24,0,0,benign
45,0,2,22,12,11,7.0,15,15,1,0,0,4,1,0,0,0,0,0,0,0,4.019305040629888,28,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,376,1,1,4,178,1,121,16,0,137,0,0,benign
66,0,3,40,39,10,5.333333333333333,18,18,2,5,0,3,0,0,0,0,0,0,0,0,4.256071681489539,35,0,0,80,1,0,1,0,1,0,1,0,0,1,0,0,1,13,0,0,41,1,1,1,56,0,15,3,0,2,0,0,benign
171,0,3,103,0,10,5.666666666666667,19,19,3,0,1,8,15,0,0,0,0,41,1,0,4.773462848137087,64,38,0,80,0,0,1,1,2,0,2,1,0,0,0,0,0,5,0,0,14,1,1,0,2,0,0,0,0,0,0,0,benign
48,0,3,23,19,9,5.0,17,17,2,0,0,4,2,0,0,0,0,0,0,0,4.287782031835939,27,0,0,80,1,0,1,0,0,0,1,0,0,1,1,0,1,17,0,0,173,1,1,0,79,0,38,0,0,19,0,0,benign
81,0,4,50,0,13,5.0,23,23,3,0,0,6,4,0,0,0,0,0,0,0,4.370232028765177,41,0,0,80,1,0,2,0,2,0,1,0,0,1,0,0,2,79,0,0,221,1,1,4,316,19,97,25,0,63,0,0,benign
61,0,3,37,4,8,4.666666666666667,16,16,2,0,0,6,2,0,0,0,0,0,0,0,4.3767375421617185,33,7,0,80,1,0,1,0,1,0,1,0,0,1,0,0,0,24,0,0,256,1,1,9,128,1,42,99,0,4,0,0,benign
49,0,4,12,0,19,6.5,29,29,3,0,0,4,1,0,0,0,0,0,0,0,4.070857997344911,27,0,0,80,1,0,2,0,0,0,1,0,0,1,0,0,1,17,0,0,103,1,1,4,57,0,41,17,0,20,0,0,benign
85,0,2,57,0,16,9.5,20,20,1,0,0,5,9,0,0,0,0,0,0,0,4.325017007144568,42,3,0,80,1,0,0,0,2,0,1,0,0,0,0,0,1,17,0,0,79,1,1,2,86,0,56,7,0,11,0,0,benign
37,0,2,1,0,25,14.0,29,29,1,0,0,3,0,0,0,0,0,0,0,0,4.15487093296263,20,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,benign
58,0,3,36,0,6,4.0,14,14,2,0,0,4,4,0,0,0,0,0,0,0,4.249632503487153,33,0,0,80,1,0,1,0,1,0,1,0,0,1,0,0,1,81,0,0,116,1,1,2,123,0,165,3,0,9,0,0,benign
40,0,3,18,3,6,4.0,14,14,2,0,0,6,0,0,0,0,0,0,0,0,4.2250705203641825,19,7,0,80,1,0,1,0,0,0,1,0,0,0,0,0,2,36,0,0,596,1,1,5,405,2,1434,23,0,6,0,0,benign
38,0,4,17,16,3,2.5,13,13,3,0,0,3,0,0,0,0,0,0,0,0,4.063202513215852,23,0,0,80,1,0,2,0,0,0,1,0,0,1,0,0,0,44,0,0,85,1,1,1,363,0,7,9,0,13,0,0,benign
53,0,3,33,0,5,3.3333333333333335,12,12,2,0,0,4,3,0,0,0,0,0,0,0,4.508501766202998,32,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,154,0,0,158,1,1,2,44,0,63,11,0,4,0,0,benign
40,0,4,16,0,5,3.25,16,16,3,0,0,5,0,0,0,0,0,0,0,0,3.975070520364182,23,0,0,80,1,0,2,1,0,0,1,0,0,1,0,0,0,8,0,0,7,1,1,1,21,0,4,5,0,4,0,0,benign
27,0,3,1,0,10,5.333333333333333,18,18,2,0,0,3,0,0,0,0,0,0,0,0,3.736006946447656,17,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,1,14,0,0,72,1,1,0,51,0,49,5,0,12,0,0,benign
52,0,2,38,22,3,2.5,6,6,1,0,0,4,2,0,0,0,0,0,0,0,4.003539122804025,28,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,218,1,1,2,45,0,53,18,0,7,0,0,benign
24,0,2,7,0,5,4.0,9,9,1,0,0,4,0,0,0,0,0,0,0,0,3.668295834054489,13,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,17,0,0,7,1,1,1,0,0,0,7,0,1,0,0,benign
79,0,3,49,31,14,6.666666666666667,22,22,3,0,0,5,2,0,0,0,0,0,0,0,4.444691869181936,44,0,0,80,1,0,1,0,2,0,1,0,0,1,0,0,1,26,0,0,154,1,1,2,98,5,46,2,0,43,0,0,benign
87,0,2,65,44,10,6.5,14,14,2,0,0,7,5,0,0,0,0,0,0,0,4.575867026240509,43,8,0,80,1,0,0,0,2,0,1,0,0,0,0,0,2,42,0,0,101,1,1,1,113,0,6,8,0,32,0,0,benign
24,0,3,1,0,7,4.333333333333333,15,15,2,0,0,3,0,0,0,0,0,0,0,0,3.688721875540867,14,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,37,0,0,59,1,1,1,298,2,5,1,0,2,0,0,benign
41,0,3,15,14,10,5.333333333333333,18,18,2,0,0,3,0,0,0,0,0,0,0,0,4.159517480745797,26,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,10,0,0,181,1,1,4,216,0,59,12,0,11,0,0,benign
37,0,3,11,3,10,5.333333333333333,18,18,2,0,0,4,0,0,0,0,0,0,0,0,4.175273297885966,21,3,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,53,0,0,173,1,1,1,210,0,198,7,0,2,0,0,benign
